symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
GLD,2026-03-23T09:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,405.0,414.5291,404.0105,412.14,2940613.887158,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-04-30T15:30:00-04:00,America/New_York,2026-04-30,regular,true,1h_rth,423.85,424.38,423.5,423.72,267694.39889,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T09:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,421.412,427.92,421.08,426.44,668175.703752,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T10:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,426.5,426.5925,424.065,425.65,412477.427238,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T11:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,425.77,426.91,425.3101,425.8014,253295.00619,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T12:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,425.63,426.25,425.2,425.27,163010.43893,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T13:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,425.14,425.49,423.57,424.53,216076.982319,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T14:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,424.45,424.905,423.8,424.6004,195272.125199,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-01T15:30:00-04:00,America/New_York,2026-05-01,regular,true,1h_rth,424.6109,424.6109,423.08,423.3,427227.77921,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-04T09:30:00-04:00,America/New_York,2026-05-04,regular,true,1h_rth,418.815,420.74,418.08,419.72,430985.090472,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-05-04T10:30:00-04:00,America/New_York,2026-05-04,regular,true,1h_rth,419.64,420.86,414.38,416.63,613033.570865,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
