symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
SPY,2026-03-24T11:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,656.06,657.02,654.3,655.96,3673279.053392,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-24T12:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,655.97,656.12,652.55,653.405,4002187.455423,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-24T13:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,653.4,654.98,652.38,654.58,4816643.361337,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-24T14:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,654.59,656.59,654.28,654.45,4818238.28928,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-24T15:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,654.455,654.775,652.56,653.18,3956526.233997,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-25T09:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,658.66,660.89,655.67,658.14,9510900.26195,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-25T10:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,658.16,659.25,654.24,657.84,7453851.898465,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-25T11:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,657.84,658.24,656.01,657.5,4839228.163925,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-25T12:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,657.46,658.32,656.915,658.03,4322226.913158,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-25T13:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,658.04,659.38,657.33,657.515,4427855.841252,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
